Nomor_Aplikasi|Nomor_Pembayaran|Tanggal_Pembayaran|Nominal_Pokok|Nominal_Bunga|Nominal_Denda|Pelunasan
L000001Q7WX132740|210333ZZBCADD0000VZ1|21032023|000000007000000|000000000800000|000000000900000|Y
L000001HCJ5132740|210333ZZBCADD0000VZ2|21032023|000000000000000|000000000000000|000000000000000|N
L000001IROU132740|210333ZZBCADD0000VZ3|21032023|000000007000000|000000000000000|000000000900000|I
|210333ZZBCADD0000VZ4|21032023|000000000000000|000000000000000|000000000000000|Y
L000001HIF5132740||21032023|000000000000000|000000000000000|000000000000000|Y
L0000013L3R132740|210333ZZBCADD0000VZ6||000000000000000|000000000000000|000000000000000|Y
L000001GVOA132740|210333ZZBCADD0000VZ7|21032023||000000000000000|000000000000000|Y
L00000144XB132740|210333ZZBCADD0000VZ8|21032023|000000000000000||000000000000000|Y
L000001J8BO132740|210333ZZBCADD0000VZ9|21032023|000000000000000|000000000000000||Y
L000001Y3KR132740|210333ZBCADD0000VZ10|21032023|000000000000000|000000000000000|000000000000000|
L0000013OYN13274|210333ZBCADD0000VZ11|21032023|000000000000000|000000000000000|000000000000000|Y
L000001LWAV132740|210333ZBCADD0000V12|21032023|000000000000000|000000000000000|000000000000000|Y
L000001N59U132740|210333ZBCADD0000VZ13|2103202|000000000000000|000000000000000|000000000000000|Y
L000001I8UT132740|210333ZBCADD0000VZ14|21032023|00000000000000|000000000000000|000000000000000|Y
L000001HDFR132740|210333ZBCADD0000VZ15|21032023|000000000000000|00000000000000|000000000000000|Y
L000001U5FI132740|210333ZBCADD0000VZ16|21032023|000000000000000|000000000000000|00000000000000|Y
L0000017NUX132740|210333ZBCADD0000VZ17|21032023|000000000000000|000000000000000|000000000000000|Z
L000001PHUK1327400|210333ZBCADD0000VZ18|21032023|000000000000000|000000000000000|000000000000000|Y
L000001F4XY132740|210333ZBCADD0000VZ190|21032023|000000000000000|000000000000000|000000000000000|Y
L000001ZRNL132740|210333ZBCADD0000VZ20|210320230|000000000000000|000000000000000|000000000000000|Y
L000001E4BE132740|210333ZBCADD0000VZ21|21032023|0000000000000000|000000000000000|000000000000000|Y
L000001YIBU132740|210333ZBCADD0000VZ22|21032023|000000000000000|0000000000000000|000000000000000|Y
L000001CRKP132740|210333ZBCADD0000VZ23|21032023|000000000000000|000000000000000|0000000000000000|Y
L000001ZZZZ132740|210333ZBCADD0000VZ24|21032023|000000000000000|000000000000000|000000000000000|Y
L000001UE2O132740|090323ZBCADD0000VZ24|21032023|000000000000000|000000000000000|000000000000000|Y
L000001XN21132740|210333ZZBCADD0000VZ1|21032023|000000000000000|000000000000000|000000000000000|Y
